[2018-04-26 07:53:07 330016] retcode: 1102, selector: 0
[2018-04-26 07:53:07 619683] retcode: 1102, selector: 0
[2018-04-26 07:53:07 936693] retcode: 1102, selector: 0
[2018-04-26 07:53:08 253446] retcode: 1102, selector: 0
[2018-04-26 07:53:08 552117] retcode: 1102, selector: 0
[2018-04-26 07:53:08 869646] retcode: 1102, selector: 0
[2018-04-26 07:53:09 188695] retcode: 1102, selector: 0
[2018-04-26 07:53:09 485845] retcode: 1102, selector: 0
[2018-04-26 07:53:09 771018] retcode: 1102, selector: 0
[2018-04-26 07:53:10 086477] retcode: 1102, selector: 0
[2018-04-26 07:53:10 401259] retcode: 1102, selector: 0
[2018-04-26 07:53:10 702699] retcode: 1102, selector: 0
[2018-04-26 07:53:11 009343] retcode: 1102, selector: 0
[2018-04-26 07:53:11 306311] retcode: 1102, selector: 0
[2018-04-26 07:53:11 598853] retcode: 1102, selector: 0
[2018-04-26 07:53:11 903742] retcode: 1102, selector: 0
[2018-04-26 07:53:12 240836] retcode: 1102, selector: 0
[2018-04-26 07:53:12 567729] retcode: 1102, selector: 0
[2018-04-26 07:53:12 886872] retcode: 1102, selector: 0
[2018-04-26 07:53:13 208097] retcode: 1102, selector: 0
[2018-04-26 07:53:13 514012] retcode: 1102, selector: 0
[2018-04-26 07:53:13 812838] retcode: 1102, selector: 0
[2018-04-26 07:53:14 102370] retcode: 1102, selector: 0
[2018-04-26 07:53:14 425531] retcode: 1102, selector: 0
[2018-04-26 07:53:14 758632] retcode: 1102, selector: 0
[2018-04-26 07:53:15 059196] retcode: 1102, selector: 0
[2018-04-26 07:53:15 345596] retcode: 1102, selector: 0
[2018-04-26 07:53:15 651529] retcode: 1102, selector: 0
[2018-04-26 07:53:15 994666] retcode: 1102, selector: 0
[2018-04-26 07:53:16 312579] retcode: 1102, selector: 0
[2018-04-26 07:53:16 614246] retcode: 1102, selector: 0
[2018-04-26 07:53:16 939382] retcode: 1102, selector: 0
[2018-04-26 07:53:17 269404] retcode: 1102, selector: 0
[2018-04-26 07:53:17 613225] retcode: 1102, selector: 0
[2018-04-26 07:53:17 935314] retcode: 1102, selector: 0
[2018-04-26 07:53:18 244820] retcode: 1102, selector: 0
[2018-04-26 07:53:18 584633] retcode: 1102, selector: 0
[2018-04-26 07:53:18 928768] retcode: 1102, selector: 0
[2018-04-26 07:53:19 273073] retcode: 1102, selector: 0
[2018-04-26 07:53:19 610190] retcode: 1102, selector: 0
[2018-04-26 07:53:19 915890] retcode: 1102, selector: 0
[2018-04-26 07:53:20 222018] retcode: 1102, selector: 0
[2018-04-26 07:53:20 530994] retcode: 1102, selector: 0
[2018-04-26 07:53:20 845115] retcode: 1102, selector: 0
[2018-04-26 07:53:21 169743] retcode: 1102, selector: 0
[2018-04-26 07:53:21 481697] retcode: 1102, selector: 0
[2018-04-26 07:53:21 775502] retcode: 1102, selector: 0
[2018-04-26 07:53:22 076589] retcode: 1102, selector: 0
[2018-04-26 07:53:22 382311] retcode: 1102, selector: 0
[2018-04-26 07:53:22 664368] retcode: 1102, selector: 0
[2018-04-26 07:53:22 938721] retcode: 1102, selector: 0
[2018-04-26 07:53:23 223545] retcode: 1102, selector: 0
[2018-04-26 07:53:23 555287] retcode: 1102, selector: 0
[2018-04-26 07:53:23 908375] retcode: 1102, selector: 0
[2018-04-26 07:53:24 261857] retcode: 1102, selector: 0
[2018-04-26 07:53:24 609021] retcode: 1102, selector: 0
[2018-04-26 07:53:24 929432] retcode: 1102, selector: 0
[2018-04-26 07:53:25 267151] retcode: 1102, selector: 0
[2018-04-26 07:53:25 621827] retcode: 1102, selector: 0
[2018-04-26 07:53:25 953858] retcode: 1102, selector: 0
[2018-04-26 07:53:26 274575] retcode: 1102, selector: 0
[2018-04-26 07:53:26 596339] retcode: 1102, selector: 0
[2018-04-26 07:53:26 900631] retcode: 1102, selector: 0
[2018-04-26 07:53:27 195544] retcode: 1102, selector: 0
[2018-04-26 07:53:27 508350] retcode: 1102, selector: 0
[2018-04-26 07:53:27 847166] retcode: 1102, selector: 0
[2018-04-26 07:53:28 182725] retcode: 1102, selector: 0
[2018-04-26 07:53:28 511962] retcode: 1102, selector: 0
[2018-04-26 07:53:28 847994] retcode: 1102, selector: 0
[2018-04-26 07:53:29 197593] retcode: 1102, selector: 0
[2018-04-26 07:53:29 551935] retcode: 1102, selector: 0
[2018-04-26 07:53:29 870297] retcode: 1102, selector: 0
[2018-04-26 07:53:30 183480] retcode: 1102, selector: 0
[2018-04-26 07:53:30 498837] retcode: 1102, selector: 0
[2018-04-26 07:53:30 793254] retcode: 1102, selector: 0
[2018-04-26 07:53:31 083518] retcode: 1102, selector: 0
[2018-04-26 07:53:31 372638] retcode: 1102, selector: 0
[2018-04-26 07:53:31 699507] retcode: 1102, selector: 0
[2018-04-26 07:53:32 052495] retcode: 1102, selector: 0
[2018-04-26 07:53:32 364529] retcode: 1102, selector: 0
[2018-04-26 07:53:32 685258] retcode: 1102, selector: 0
[2018-04-26 07:53:33 059389] retcode: 1102, selector: 0
